,PSV,IF,IGL,LT,INC,ADP,VISl6a,DCO,VCO,ISN,KF,LC,LGd,LGv,LAV,APN,SUV,LPO,RT,AVP,VISpl2/3,AVPV,MA,BLAp,SG,SGN,SPFp,SPVI,MPO,ENTm1,SUT,ENTm2,ACVII,NDB,V,NOT,VAL,VI,ENTm3,VM,VLPO,VPL,ENTm5,VPM,ZI,PARN,VISpl4,VISpl5,VISal2/3,ENTl,RSPagl2/3,VISl2/3,PO,GPe,POL,GPi,MGm,PS,DG-mo
PSV,0.36999513734680134,0.0029098586984156382,0.0008174094880210325,0.009635566006602203,0.15864027596350558,8.39112442308274e-06,0.0,0.4956020546196956,0.27080078524509427,0.05536786038246104,0.8569145385415284,0.29510076684575115,0.0005487387020735217,0.0013256433531281292,0.2685364767874049,0.036078991418779224,0.17988360678922646,0.0025196127739910254,0.003338854810403311,0.0006346252273930675,4.526674741276648e-05,0.0006486923873817377,0.002248658968198757,3.627417209248023e-05,0.05632807346962988,0.03514682879780037,0.16017697317856772,0.053733394253830453,0.00043781661489507106,0.0007748739034314825,0.5048506821801868,0.0001328729295773763,0.30932094489970086,0.00433790254103992,0.23033933434816622,0.0038222214014520953,0.008550716352295804,0.12858749639960923,5.341949382544574e-06,0.03202448814089598,0.001712729958341975,0.05002513290714979,2.5137893462328627e-11,0.10046901123984363,0.06620116598440969,0.1199227216101401,0.0,4.2257026424052073e-11,2.0831628010777823e-07,0.0002431520991111713,1.948313081601419e-05,9.290941106655934e-07,0.031734754555916435,0.001418368680971079,0.06699490520911837,0.0031440970998344413,0.05552451404880578,0.00014975209624935602,0.002241888642826192
IF,0.0003708741201206812,0.04329643751301754,0.0001832502797112858,0.00047452497739028864,0.021028708793919947,0.001973238704955583,4.358657427566835e-06,9.415144614915637e-05,0.00015082648011358586,0.0003616583369515974,0.0013242667329267375,0.002706898788860479,4.0457174047849364e-05,0.0002249872939439307,0.00010673577393052945,0.0018879306161823982,0.0001875481956384744,0.012717551761926479,0.0003099224180091903,0.0038609954104703277,3.528717042457403e-05,0.001094139407649977,0.007623447800157781,0.0004291104393170057,0.00251397960961099,5.364244750209008e-05,0.002856832471755367,0.0003025306219699397,0.003524432720581118,0.00033109957928113696,0.0030039007940026144,0.0003238471477012501,0.0023829650385900677,0.010981973015692136,0.0010326948480227532,0.00028451059143344933,0.0005710796853226934,0.0011753181294321062,0.00015647199503655547,0.002697250996387571,0.0022738315519966953,0.0003649112940365807,0.00024629057127232553,3.014913625715073e-05,0.0036944323091957793,0.0014225489201335326,1.3736106538242978e-06,2.23029505397096e-05,1.1674649831771518e-05,0.0003458881827920298,8.013486700884492e-05,2.3950013453585483e-06,0.0001642032211304527,0.0012119810472770189,0.0004982809481383299,0.0013873475517731846,0.0001651029244595684,0.005634557801134644,0.0004467928822322859
IGL,1.1813315636234606e-05,9.560420086306708e-06,0.000550249711072034,0.0004773137017528257,0.0001759810188290291,0.0,0.035517701347000705,1.0501443930711407e-05,1.2072726359585923e-05,1.559007730969385e-34,1.9741560269572339e-07,5.251315139765755e-06,0.0425613345057725,0.0017568677208538806,1.4572850977150587e-06,0.00020839493391163283,6.522806481982624e-08,2.364523149610571e-05,0.011721913519127143,4.168645143093698e-10,0.00042526054612941627,2.426549556980289e-05,3.943603568223614e-05,5.220944462399495e-06,8.664109603138806e-09,0.002418729558183894,0.006784885783633312,6.384507814613815e-06,1.4330571434143436e-05,9.423088641045063e-05,2.3523370602968695e-06,1.5544801198830986e-05,3.7421338563900727e-13,0.00042960789031330364,1.3576852632355463e-07,0.0007866164236246669,1.07647048412436e-05,8.81664079372745e-10,1.7449895937154956e-06,1.9644801964475544e-05,0.00021547712780932378,0.0063937795507879,3.2379124017428107e-07,0.003597160962641246,0.0026926940657810306,1.565436200735749e-06,0.0050925903447301335,0.0016871874455310666,0.02646459319609095,9.3329996083307e-05,3.274492784322281e-05,0.03351970967729491,0.0003259403451383986,0.00383475898483136,0.0011038543330071028,0.0005213216099069839,0.0304359313264408,1.4132485216414593e-07,0.0002804403975070279
LT,2.397426939067413e-05,0.0002164966336611498,2.418524381671944e-05,0.0016513254774812138,0.0009272488845955475,0.00021940185532075285,2.6029563156875914e-05,7.879136103732307e-06,4.954751821753624e-06,0.00014342192847588485,0.00012595438263760645,0.00018642741751294465,2.580244264504479e-05,5.983121322588748e-05,1.5114292631738434e-06,0.0009626830431007754,2.904854205026672e-06,0.0005681077687378646,0.0007514321544010823,0.00028683537456069977,1.777979527619141e-06,0.0002213664455630227,0.00012100151337020988,0.0001881230689220417,1.7696790595591944e-05,0.003001497469950239,0.007340481538895565,4.898310101462839e-06,0.0008567307754407404,1.523912395973045e-05,0.0006283150618811504,3.730706888306376e-06,0.00011366654407125808,0.00022964976088014967,0.0001832806677349664,0.00014231923471692522,0.0008771247496948051,1.1500882567221265e-06,8.570966490013302e-08,0.0018109123549771525,0.0002917925640192911,0.000792341985859155,5.523122602075453e-07,0.0004444916291290226,0.0025114570033624817,0.00026634665932485555,1.4421224816238526e-09,1.972468324170082e-06,1.7382853181074657e-06,5.557033255956993e-06,1.7075295738527e-06,3.674572080420178e-07,0.0004784602723803727,0.0012069605820463668,0.005729312595181972,0.0017261518745280164,0.004118821569806746,0.00028749559423330283,0.00013797947276080047
INC,0.0005739825282980753,0.012965069783769984,0.0007192194045330091,0.0007442281698472361,0.02680723772781629,0.00034474445846249607,5.118046949629349e-07,7.107066125094266e-05,7.163324157755022e-05,0.0002717948274491944,0.0015880120796440294,0.003841498667853723,0.0001381056461433753,0.0004893453218029405,0.00014733521961568071,0.007250340286848357,0.00018166678806019908,0.004517544293735097,0.0003331735067781761,0.0010360521210606337,2.2282106553645293e-05,0.00023332856738771717,0.0021195213618786014,0.00041121331077912467,0.002239731519315536,0.00020684970498393397,0.004948388782306643,0.0003945436349443082,0.000935144677036626,8.371700218153028e-05,0.00394156473105542,5.325650746086559e-05,0.0050495166958632485,0.004988964438704528,0.0009746886682953727,0.0009890139578280488,0.0010973053730100116,0.0052385263841618615,1.89631502549754e-05,0.0035740466812440165,0.0007420239631975308,0.0007735726877566184,2.7918539566034226e-05,0.00013692969583303726,0.005447674887737063,0.002242835878514717,3.150339180218739e-07,2.2640921961519964e-06,1.319016270257286e-06,3.727530954157938e-05,0.00012607714691862963,2.8661981092116115e-07,0.0006255702926990836,0.0006110151904350025,0.001886040820707612,0.0007605067716464708,0.0005838580759294555,0.0015637273990288859,0.00015955798598258773
ADP,1.4039739497569725e-06,0.008673265259733696,6.375244446484923e-05,0.000750218200135342,0.0001607716665224561,0.04183327559858348,2.5102594045616606e-05,3.192164597410766e-05,1.987333243024115e-05,1.1255235362054748e-06,1.598603497712966e-05,0.002560510003874504,2.563240680609339e-05,8.56626339629721e-05,1.6120909404409354e-07,7.311791317227396e-05,2.2893403164843714e-07,0.01564483066645361,0.0005703683585611705,0.04198206625675144,1.2085028353431382e-05,0.03897014257526186,0.000609560137583584,0.0001288787712503183,3.91621244240067e-05,5.3987648394586195e-05,0.0005849812175150644,7.775459360983669e-07,0.044555159672042474,1.934761528018662e-05,0.00024935889834631957,1.946277683971009e-05,0.00028060489609327337,0.007393615852211196,3.8885690792223274e-05,1.4851992813665891e-05,4.920295421108669e-05,6.906804983048874e-07,2.1233359739762425e-05,0.0004330358830553692,0.026345055481998315,7.754161603622573e-05,5.5986297478225066e-05,6.458007554293619e-06,0.0016955969663362317,6.385817473750719e-05,3.5707801532037975e-06,4.024999820832378e-05,1.6763378082525733e-08,3.8636978858655746e-05,1.0148563781804915e-05,6.497222791809712e-08,5.076289673331694e-06,4.958367786843024e-05,0.00013241423768148227,0.00023244888464746003,9.403392597378647e-05,0.035650549822594774,0.00011244930149065017
VISl6a,3.0513284388405187e-05,3.713314596395476e-05,0.08191246345499158,0.03175050409808795,0.0002375572873362207,3.455503991869396e-07,0.2610505503806713,0.0001810750850352395,0.0001992740121671078,1.0402988957401383e-13,0.00012327778951265375,0.00022037318545084142,0.0768190647409556,0.06925809581280615,9.940035010884306e-06,0.021586090664553432,1.843900646368989e-05,1.122218942073121e-05,0.01622203458588744,2.08916683866263e-06,0.10055521042943252,0.00011424467261919385,1.3706283367310096e-05,0.0003080852539691849,0.0003056890143396201,0.024883768595171794,0.0023229393672409577,2.639817704978219e-05,7.508691190145849e-06,0.0017827410721293257,3.166958710150232e-05,0.004605908326669384,6.498735208127273e-05,0.000623684054755788,5.719694520614588e-06,0.06744430811458399,0.0015107493003074547,3.0651997170144934e-05,0.0022477192655903752,0.0004597749782859097,0.00025593412281808527,0.005233671855568854,0.003778366137434601,0.0035532443599051032,0.0039569038894172685,2.4963049145294864e-05,0.1828052282751154,0.10848755243154481,0.10758784664235548,0.006949749937171917,0.032745446102747676,0.20352678432506358,0.002478892787125377,0.0010580793155702632,0.02057209207928977,0.00013218100005375603,0.012528131294067888,1.3324109060993598e-15,0.0026279836873036953
DCO,0.03589738102368276,0.00015444215971304072,0.00023918348506776681,7.364826165561814e-05,0.04994081849934913,4.5806892961448516e-08,4.806038414384549e-10,0.15361421449925927,0.27686128540163846,0.06719399362682647,0.06109848794026782,0.02405425001057501,0.00011523580477974362,8.011563469607647e-05,0.5808682031728809,0.008608979553017601,0.0900850552757952,7.511658238205906e-06,0.0007770350731351152,1.1798667624513852e-05,0.00011061673511759212,0.000548513947807469,2.2476178327444604e-05,1.956371095763664e-06,0.004175237113310182,0.001026282800735203,0.02177455712368503,0.0618350259534849,1.7012064304735496e-06,0.0029700932572382325,0.017857602707930707,0.0006097569004706314,0.038588765218008636,0.00971475183464611,0.017429114546460546,0.00020720376513780111,0.004698188635450325,0.44071479529960667,4.8451671138824536e-06,0.007779399708381711,0.0011471146350362988,0.01653735128970026,7.592731070768213e-07,0.007526496843816556,0.008582598583619124,0.05897310053902718,7.029742433270247e-12,3.729914436697642e-09,9.961746756887848e-12,0.00024786041559242113,7.51794043119877e-05,2.1458786601078007e-08,0.007803825702729076,1.8636531218355165e-05,0.006914548645675217,0.0001290407504579703,0.00679379266021345,1.763850912727547e-07,0.00635077227631444
VCO,0.03703541520248525,0.00019217791506114773,0.00021533017097504747,2.5733551707057903e-05,0.0028435525767274445,1.4799087370495205e-09,1.7760756775007183e-11,0.4602461568116165,0.8677278079074261,0.021362167889983512,0.060703610860088915,0.0018592026954826052,0.0002534825606533127,1.105471670573938e-05,0.084566366381955,0.0011740007999331238,0.06021710547695941,2.579571404533023e-06,5.028587318669665e-05,6.459034516508206e-07,6.066507506834763e-05,0.001589466575874211,6.173040376027347e-06,6.049256977791932e-06,0.0001056985870484437,0.0003376520296579253,0.0183257910895107,0.00900309756739124,3.568550994007254e-07,0.005877306678702441,0.010637104943855146,0.0007530183110993526,0.00606458626754573,0.021593321694893208,0.013787029045441318,0.00038478491599124785,0.0004593656387812864,0.04143987789450205,7.261931460453013e-06,0.00046950342917857524,0.002114939935672104,0.0007849745979396531,5.650688471673552e-08,0.0008242715144410893,0.0007537368116004868,0.020317279571218868,3.116526181929041e-17,1.542023736574611e-12,1.2508664819557698e-15,0.00034188827814395144,6.0969704641502365e-05,1.448547457074473e-09,0.0009471194239507089,5.192297438340392e-06,0.0014584287311712285,0.00026477354308356845,0.0009340501136884832,6.309114674974069e-09,0.014050822887981356
ISN,0.0012722080191546893,3.520447607724353e-05,7.342376652970655e-07,1.0052512732881424e-05,0.000980004558720092,2.898098696226499e-08,1.1517895509813222e-10,6.353525753592213e-05,7.043985372442405e-05,0.006426833522491304,0.00259999192399915,0.0006434400230052264,4.869433147552153e-07,1.4946933371908123e-06,0.0045420985950348075,0.00024047738647481649,0.0010181076479848304,1.0340384553642445e-06,9.177984825009305e-06,5.162464945461201e-08,3.310668173069834e-07,3.125939984847891e-06,2.1537289400678734e-06,2.5759435055621746e-09,7.785420345834487e-05,2.1909429466119927e-05,0.0005264816829736215,0.0011272489612528143,1.3713529175578155e-07,8.379408760075378e-06,0.002370503626853463,2.9732292189867337e-06,0.001699806795986439,6.892820219332835e-05,0.00289620833295618,2.476425187936644e-06,0.00013722298156682914,0.0037750655771043853,1.409976543158891e-07,0.00014196630552807223,7.128743063025964e-06,0.00015933827410272936,3.5108967633735545e-08,0.00010851847638249582,0.0001494302643401683,0.0035417507739970207,2.356520051620626e-11,2.152495606215904e-10,1.2180166060177786e-10,2.7567084663687535e-06,2.4760177653578117e-07,1.0471570725742166e-10,0.00018770093763789412,1.6611163319585587e-06,0.00011090082313349851,3.921902255465039e-06,0.0001058406846269884,7.451352410105256e-08,3.5730257330391416e-05
