,RT,VPL,VI,NLL,SG,VLPO,IF,ACVII,ZI,PSV,PARN,MG,SGN,V,SPFp,PO,VCO,VPM,SPVI,NDB,LGv,LAV,LT,POL,SPVO,LGd,GPi,SUT,MA,PB,APN,IGL,NOT,VM,VAL,GPe,ISN,SUV,DCO
RT,0.0010658489278909011,0.0006784187412282016,1.7292142187611113e-08,1.0891913257579888e-07,1.2548897924789306e-07,5.548611171089376e-06,1.0546973941824364e-06,1.054838668688905e-05,6.176460012842196e-05,1.2872572611514401e-07,1.1734850131366298e-06,1.0753329190693117e-05,3.331915010779776e-06,2.9340506597244356e-07,0.00010165140876290066,0.0006316917654787512,3.3223761948753463e-06,0.0008991376778730047,9.096344623114488e-08,8.786175732083325e-06,1.6456806234150282e-05,2.5811650353778157e-08,7.100542524467555e-06,3.219166153816313e-05,8.36544330826497e-08,6.168731061427445e-05,0.00022166234346001484,3.6549841148576064e-06,5.097764259376098e-06,1.9509953649938942e-06,6.321430370015222e-06,1.0629319870287876e-05,2.729177983308594e-06,0.000572177973494129,0.001736618379608489,0.0001872360315953245,1.818198920541648e-15,5.285994396673324e-08,1.6803880964657009e-06
VPL,0.0008150553645921116,0.0009201813733104627,3.027623954850465e-09,9.641720719381798e-08,4.528915512089831e-08,3.3707668789058377e-06,3.896795957845594e-07,1.8293265602948253e-06,2.7757009563190167e-05,1.5751954087710002e-07,5.589762470354809e-07,1.3592468158110475e-05,2.8431076478661537e-06,1.8645049040337282e-07,4.3975683906820266e-05,0.0006345644110993142,3.304204581388656e-06,0.001310184826114736,8.27762246413561e-08,8.62944588566465e-06,1.1649839974190316e-05,3.397848495964641e-08,2.4730083490315075e-06,1.6818221566216323e-05,5.211564796787028e-08,2.0719375582587837e-05,0.00010278111416074621,1.641012389101309e-06,2.4648119843413275e-06,1.06431496010852e-06,3.5177405512626624e-06,8.030846940403844e-06,2.038423749260376e-06,0.0002537382651496895,0.001109706394691245,0.00019579165732954625,3.4130623829543955e-17,6.221602715682031e-08,1.503046644672394e-06
VI,1.838382364764126e-05,2.411438770988652e-05,0.0007942221043577005,6.0839673987311125e-06,0.0006435781489654301,9.373134766084084e-05,7.123426705533128e-05,0.00017992949133387786,4.600983487334272e-05,2.734422882702591e-05,0.0001695392767199019,5.37454966940977e-06,3.193031878720548e-06,0.0001128993150121485,9.083986228217691e-05,1.6169748438938755e-05,6.7740627379238825e-06,2.0970955196650193e-06,5.320371336172359e-05,0.00014397397375033767,4.204632475050967e-06,0.0006070680403295765,2.0543285881590468e-05,3.0918322507233875e-05,0.00012818516070643002,1.111424578549856e-06,9.519563822202752e-06,0.00014789187840341883,1.8765581510674206e-05,0.00025155221172665237,0.00010466777817174147,6.8658828700463764e-06,8.322545452307781e-06,5.797879032286321e-05,2.3471662186270602e-05,1.4820054024744482e-06,0.00013625279026863282,0.0004255232176848962,3.414026558427983e-05
NLL,2.562149371140517e-06,5.9227588451291776e-06,0.00020537038215383998,0.0005435626241113229,9.472373819241642e-05,3.0047900688819872e-05,3.670628106540419e-05,0.0007350053778970357,4.628040503995877e-05,0.000636370833114641,0.00018255699272606477,5.5582499760295204e-05,0.00010651270082187009,0.00036796897853240353,0.00015632842247262742,6.202462138769895e-06,3.293773592469879e-05,3.648977589166878e-06,7.320025725088821e-05,1.7307315826609598e-05,5.628862791799852e-06,2.5247242792792128e-05,3.653173086717981e-05,0.00019465849001810387,8.933589733768603e-05,8.600220972096693e-07,2.2683647038881753e-05,0.0009464388497279645,1.0149844102678622e-05,0.0004930683697019941,5.0450097368578715e-05,7.250501426884482e-06,3.689501116247445e-06,2.282764207687018e-05,5.885635250499422e-06,6.4613385784398145e-06,4.13129109328603e-05,4.097385635318801e-05,0.00011605724899159795
SG,9.796877862466688e-05,3.7690202194050634e-06,4.196501441437795e-05,4.430232778600837e-07,0.0009342487360428543,0.00019475783259306366,0.00042439866452531817,1.8925513966215544e-05,6.505797516854209e-05,3.5959846836191136e-07,5.3519963146024595e-06,3.2858887556022486e-06,1.4847713808410572e-06,1.1522233504872004e-05,6.935614066080644e-05,5.642976957779941e-07,8.83923002004376e-07,3.249511439329735e-07,1.2387898466475176e-07,0.0009720387167936056,1.253113485623265e-06,3.4774010757439966e-06,1.2511568024920898e-07,1.3933393494155595e-05,1.0154037552781792e-06,3.514301899404603e-07,3.833011934860154e-06,1.950256704056237e-05,0.00010333257143176345,6.91843914061371e-05,1.4416008618233572e-05,7.604839178544849e-07,3.125055732555772e-06,0.00015503881671551583,1.1049072536735796e-05,1.011315379508336e-06,4.186183398847143e-06,2.9460968559758613e-06,2.312290872290404e-07
VLPO,4.980875858002967e-05,4.3789472321204124e-06,9.995687118656166e-08,2.862614976848362e-07,6.968997057786122e-06,0.0017271414563160823,0.00031998981011940923,2.2064486123618533e-05,9.29879780879089e-05,5.213265981504396e-08,3.981694775181596e-06,5.127697670301958e-06,4.150286325332798e-06,2.4341648948578837e-06,2.737869430178219e-05,4.190473826793633e-07,5.968462962999713e-07,4.266796752882826e-07,3.203199718524197e-08,0.0005520059149450357,3.885335969543355e-06,1.2449256640393885e-08,2.904124915520135e-05,9.06752155717082e-06,6.738226848147986e-08,1.6567748847074562e-06,1.3649665522756927e-05,1.7598153852271685e-05,7.399461323606942e-05,3.6614625115966605e-05,5.700434323957801e-06,2.807985839616875e-06,6.011671078203372e-07,3.05190209943377e-05,3.3472377128009407e-06,3.71197349418608e-06,4.856548708091663e-08,1.6361406183553215e-08,4.0484250085769024e-07
IF,1.1333742424654684e-05,1.3850069365118729e-05,2.861696737825041e-05,2.0060282526966015e-07,3.776218215255112e-05,7.405478613871816e-05,0.0010330622951309745,4.252013626964001e-05,0.00011786786195953042,4.920845901218799e-07,5.8698261596374124e-06,3.6564415334167563e-06,2.1670849793065444e-06,2.8240852248678034e-06,9.860396549046556e-05,5.498929501254067e-06,3.7478721944768133e-06,1.1914126586046006e-06,3.7765446952283565e-07,0.0002680638943063462,9.424537632526392e-06,6.727891090756156e-07,1.7708408557468713e-05,1.7931244759016208e-05,1.0214275674042317e-06,1.8067979795394386e-06,4.370847262792149e-05,2.1401024437101042e-05,0.00018403625249326547,2.4282733592211648e-05,6.830817188674572e-05,8.224252812924103e-06,1.2477377439022176e-05,8.86255765724393e-05,1.8947468790506438e-05,3.441412322290467e-05,1.120286390836258e-07,4.73619531708416e-07,6.343266500800501e-07
ACVII,8.032873410679339e-08,6.638141406586864e-07,0.0005839753723103683,2.29473859338192e-06,2.9522774266015607e-05,2.9406844288882407e-07,6.644203112195419e-07,0.002902524863520557,1.7528467865186843e-06,4.8365369633843155e-05,0.0006836381587543617,2.1332289869769449e-07,3.763584790192573e-08,0.0007068289346457735,2.512283033381976e-06,3.036087208845704e-07,5.248934509864718e-07,1.1472688789857929e-07,2.938607132003965e-05,1.4434427093406085e-06,1.817959444105011e-08,4.88862219422109e-05,7.288116660483045e-08,9.195522539412548e-07,0.000232414006110198,6.3382553760594605e-09,1.9948268149756073e-07,0.0005962102235585531,1.9914974609960254e-07,0.0002159221587263141,1.0480876850833753e-05,2.0894037635356425e-09,1.0999422162047945e-07,2.407298045513024e-06,1.0100186018672712e-06,3.6443407509599146e-08,0.0003567508421658485,2.595921170551199e-05,6.788989624132151e-07
ZI,8.328190475163317e-05,0.00022987628521787846,2.460844143646133e-05,5.876865667327928e-07,9.547854608122227e-05,9.485536097046303e-05,5.8971110492062794e-05,0.0001462891068604513,0.0011814084734392675,4.014436800076201e-06,5.128608361111178e-05,0.00010608725709186203,6.201869671124786e-05,2.7472449984082555e-05,0.0011732400923375145,0.00033091777884377633,6.930690554614862e-08,0.00013034502868363178,1.4764848725021062e-06,7.471634730225871e-05,4.9638258374065166e-05,5.23005314718015e-07,0.00010104181608572653,0.00021631832691921453,6.980015789800941e-06,8.240668234623776e-06,0.0012429263955392278,0.00011585794069134016,4.2226410662334615e-05,8.309680590444628e-05,0.0008490977103327814,6.126137274424824e-05,5.5643977290825674e-05,0.0004921798906276531,0.00029214362829455264,0.0009997336644116572,6.98828483298367e-06,5.413459446858925e-07,9.622875671737511e-08
PSV,1.8025951077340333e-06,8.130301930163475e-06,0.00041239996870040383,0.0005515122272969672,0.00015265556080433553,4.215985456178952e-06,3.3151097354033208e-06,0.0009808878747907435,3.5358100210739706e-05,0.0012370048114042564,0.00032457837884224827,4.09629891178508e-05,8.350536044869613e-05,0.0006845744526895401,0.00015182303552458627,7.904487351771194e-06,0.0009373529768402543,7.5460061735469754e-06,0.0001693541642982024,6.09814124577454e-06,1.464691189591722e-06,0.000630944954723967,1.9989674199226515e-05,0.0001602232982380866,0.0002561188733662442,1.7844413578178753e-07,3.5629527838002733e-06,0.0015722789514812153,1.754836121658507e-06,0.0010064592444956595,4.720400116453594e-05,4.5190493514031326e-07,1.695917561598629e-06,3.555102052015401e-05,1.0315772329518202e-05,3.2416901930384927e-06,0.00014393176174416883,0.0005052504640889842,0.0018004502907126
